"Home","Acasă"
"Required fields are missing","Câmpurile obligatorii lipsesc"
"See Details Info","Vezi detaliile"
"Shipping","Livrare"
"Shipping Method","Metodă de livrare"
"Sites","Site-uri"
"Template not found","Designul nu a fost găsit"
"Template was saved successfully","Designul a fost salvat cu succes"
"Thank you for your order from %s","Vă mulțumim că ați comandat de pe %s"
"This email address was given to us by you or by one of our customers.","Această adresă de email ne-a fost furnizată de unul din clienții noștrii"
"This link is valid for only 24 hours.","Link-ul este valabil doar 24 de ore"
"This is reply on your letter to us","Acesta este un răspuns la scrisoarea trimisă către noi"
"To log in when visiting our site just click","Pentru a vă autentifica atunci când vizitați siteul nostru trebui sa dați click"
"Trace","Trace"
"Uninstall file not found","Fișierul de dezinstalare nu a fost găsit"
"Name","Denumire"
" %s is not writable","%s nu poate fi scris"
"Mail was sended successfully","Mailul a fost trimis cu succes"
"Mail sending was failed.","Transmiterea mail-ului a eșuat"
"Please repeat the same password","Vă rugăm introduceți aceeași parolă"
"'%value%' has not only alphabetic and digit characters","%value%s poate avea doar caractere alfanumerice"
"'%value%' is an empty string","%value%s este un câmp gol"
"'%value%' has not only alphabetic characters","%svalue%s nu trebuie să conțină doar litere"
"'%value%' is an invalid EAN-13 barcode","%value%s este un cod de bare invalid"
"'%value%' should be 13 characters","%svalue%s trebuie să aibă 13 caractere"
"'%value%' should contain only numeric characters","%svalue%s trebuie să conțină doar cifre"
"'%value%' is an invalid UPC-A barcode","%svalue%s este un cod de bare UPC-A invalid"
"'%value%' should be 12 characters","%svalue%s trebuie să conțină 12 caractere"
"'%value%' is not between '%min%' and '%max%', inclusively","%value%s nu este între %min%  și  %max%, inclusiv"
"'%value%' is not strictly between '%min%' and '%max%'","%value%s nu trebuie să fie strict între %min% și %max"
"'%value%' must contain between 13 and 19 digits","%value%s trebuie să aibă între 13 și 19 cifre"
"Luhn algorithm (mod-10 checksum) failed on '%value%'","Algoritmul Luhn( Mod de control 10) a eșuat în %value%"
"'%value%' does not fit given date format","%value% nu are formatul corect"
"'%value%' does not appear to be a valid date","%value% nu este o dată corectă"
"'%value%' is not of the format YYYY-MM-DD","%value% nu este în format YYYY-MM-DD"
"No record matching %value% was found","Niciun rezultat nu a fost găsit la căutarea după %value%"
"A record matching %value% was found","A fost găsită o înregistrare la căutarea după %value%"
"'%value%' contains not only digit characters","%value% nu conține doar cifre"
"'%value%' is not a valid email address in the basic format local-part@hostname","%value% nu este o adresă de email validă"
"'%hostname%' is not a valid hostname for email address '%value%'","%hostname nu este o adresă validă pentru adresa de email %value% introdusă"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'","%hostname% nu este o adresă validă pentru adresa de email %value% introdusă"
"'%localPart%' not matched against dot-atom format","'%localPart%' not matched against dot-atom format"
"'%localPart%' not matched against quoted-string format","'%localPart%' not matched against quoted-string format"
"'%localPart%' is not a valid local part for email address '%value%'","'%localPart%' is not a valid local part for email address '%value%'"
"'%value%' exceeds the allowed length","%value% depășește dimensiunea maximă cerută"
"Too much files, maximum '%max%' are allowed but '%count%' are given","Prea multe fișiere, maximul este %max% dar ați ales %count%"
"Too less files, minimum '%min%' are expected but '%count%' are given","Prea puține fișiere, minimul este %max% dar ați ales %count%"
"The file '%value%' does not match the given crc32 hashes","Valoarea fișierului: %value% nu se potrivește cu hash-ul crc32 introdus"
"There was no crc32 hash detected for the given file","Nu a fost găsit niciun hash crc32 în fișierul ales"
"The file '%value%' could not be found","Fișierul %value% nu a fost găsit"
"The file '%value%' has a false extension","Fișierul %value% are o extensie gresită"
"The file '%value%' was not found","Fișierul %value% nu a fost găsit"
"The file '%value%' has a false mimetype of '%type%'","The file '%value%' has a false mimetype of '%type%'"
"The mimetype of file '%value%' could not been detected","The mimetype of file '%value%' could not been detected"
"The file '%value%' can not be read","Fișierul %value% nu poate fi citit"
"The file '%value%' does not exist","Fișierul %value% nu există"
"All files in sum should have a maximum size of '%max%' but '%size%' were detected","Toate fișierele trebuie să aibă maxim %max% dar au %size%"
"All files in sum should have a minimum size of '%min%' but '%size%' were detected","Toate fișierele trebuie să aibă minim %max% dar au %size%"
"One or more files can not be read","Unul sau mai multe fișiere nu au putut fi citite"
"The file '%value%' does not match the given hashes","Fișierul %value% nu se potrivește cu hash-ul dat"
"There was no hash detected for the given file","Nu a fost găsit niciun hash pentru fișierul selectat"
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected","Lățimea maximă permisă pentru imaginea %value% este de %maxwidth% dar are %width%"
"Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected","Lățimea minimă permisă pentru imaginea %value% este de %minwidth% dar are %width%"
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected","Înălțimea maximă permisă pentru imaginea %value% este de %maxheight% dar are %height%"
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected","Înălțimea minima permisă pentru imaginea %value% este de %minheight% dar are %height%"
"The size of image '%value%' could not be detected","Dimensiunile imaginii %value% nu au putut fi citite"
"The image '%value%' can not be read","Imaginea %value% nu putut fi citită"
"The file '%value%' is not compressed, '%type%' detected","Fișierul %value% nu a putut fi comprimat, %type% detected"
"The file '%value%' is no image, '%type%' detected","Fișierul %value% nu este o imagine, este %type%"
"The file '%value%' does not match the given md5 hashes","Fișierul %value% nu se potrivește cu hash-ul md5 dat"
"There was no md5 hash detected for the given file","Nu a fost găsit niciun hash md5 pentru fișierul dat"
"The file '%value%' does exist","Fișierul %value% nu există"
"The file '%value%' does not match the given sha1 hashes","Fișierul %value% nu se potrivește cu hasul sha1 dat"
"There was no sha1 hash detected for the given file","Nu a fost găsit niciun hash sha1 pentru fișierul ales"
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected","Dimensiunea maximă permisă pentru fișierul %value% este %max% dar acesta are %size%"
"Minimum expected size for file '%value%' is '%min%' but '%size%' detected","Dimensiunea minimă permisă pentru fișierul %value% este %min% dar acesta are %size%"
"The file '%value%' exceeds the defined ini size","Dimensiunea fișierului %value% depășește valoarea definită în ini"
"The file '%value%' exceeds the defined form size","Dimensiunea fișierului %value% depășește valoarea definită"
"The file '%value%' was only partially uploaded","Fișierul %value% a fost parțial încărcat"
"The file '%value%' was not uploaded","Fișierul %value% nu a fost încărcat"
"No temporary directory was found for the file '%value%'","Niciun director temporar nu a fost găsit pentru fișierul %value%"
"The file '%value%' can't be written","Fișierul %value% nu poate fi scris"
"The extension returned an error while uploading the file '%value%'","A apărut o eroare în timp ce s-a încărcat fișierul %value%"
"The file '%value%' was illegal uploaded, possible attack","Fișierul %value% poate fi  un atac"
"Unknown error while uploading the file '%value%'","A apărut o eroare necunoscută în timpul încărcării fișierului %value"
"Too much words, maximum '%max%' are allowed but '%count%' were counted","Prea multe cuvinte, maximul este %max% dar au fost găsite %count%"
"Too less words, minimum '%min%' are expected but '%count%' were counted","Prea puține cuvinte, minimul este %min% dar au fost găsite %count%"
"'%value%' does not appear to be a float","%value% nu pare să fie un real"
"'%value%' is not greater than '%min%'","%value% nu este mai mare decât %min%"
"'%value%' has not only hexadecimal digit characters","%value% nu are doar caractere hexazecimale"
"'%value%' appears to be an IP address, but IP addresses are not allowed","%value pare să fie o adresă IP, dar adresa IP nu este permisă"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","%value% pare să fie o adresa DNS dar nu se poate potrivii cu lista TLD"
"'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position","%value% este o adresă DNS dar conține cratima (-) într-o poziție incorectă"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","%value% este o adresă DNS dar nu a putut fi extras TLD-ul"
"'%value%' does not match the expected structure for a DNS hostname","%value% nu se potrivește cu structura unei adrese DNS"
"'%value%' does not appear to be a valid local network name","%value% nu este o adresă corectă de rețea"
"'%value%' appears to be a local network name but local network names are not allowed","%value% este o adresă de rețea locală dar aceasta nu este permisă"
"'%value%' does not have IBAN","%value% nu are IBAN"
"'%value%' has a false format","%value% are un format greșit"
"'%value%' has failed the IBAN check","%value% a eșuat la verificarea IBAN"
"The token '%token%' does not match the given token '%value%'","Simbolul %token% nu se potrivește cu simbolul dat %value%"
"No token was provided to match against","Niciun simbol furnizat nu se potrivește"
"'%value%' was not found in the haystack","'%value%' was not found in the haystack"
"'%value%' does not appear to be an integer","%value% nu pare să fie un număr întreg"
"'%value%' does not appear to be a valid IP address","%value% nu este o adresă corectă de IP"
"'%value%' is not less than '%max%'","%value% nu este mai mică decât %max%"
"Value is required and can't be empty","Valoarea este obligatorie și nu poate lipsi"
"'%value%' does not match against pattern '%pattern%'","%value% nu se potrivește cu modelul %pattern%"
"'%value%' is less than %min% characters long","%value% are dimensiunea mai mică decât %min%"
"'%value%' is greater than %max% characters long","%value% are dimensiunea mai mare decât %min%"
"Root category wasn't changed. Some categories already linked with the site %s. Unlink them from the site first","Categoria principală nu s-a schimbat.Unele categorii au fost legate deja la siteul %s. Deconectați-le mai întâi"
"Record %s already exist","Înregistrarea %s există deja"
"Record %s doesn't found","Înregistrarea %s nu există deja"
"Incorrect password","Parolă greșită"
"Password confirmation does not match","Confirmarea parolei nu se potrivește"
"Page not found","Pagina nu a fost găsită"
"Sorry, the page you requested not found.","Ne pare rău, pagina nu a fost găsită"
"There might be a typing error in the address.","Poate fi o eroare de tastarea în adresă"
"If you clicked on a link, it may be out of date.","Dacă ați dat click deja pe un link, acesta poate fi expirat"
"Please try following:","Vă rugăm sa încercați următoarele:"
"Retype the address.","Retastați adresa:"
"Go to our <a href='%s'>home page</a>.","Mergeți către <a href='%s'>Pagina de pornire</a>"
"The server encountered an internal error or misconfiguration and was unable to complete your request.","Serverul a întâmpinat o eroare și cererea nu a putut fi îndeplinită"
"More information about this error may be available in the server error log.","Mai multe informații despre această eroare puteți găsi în logul serverului"
"Try to find page you want, using our search.","Pentru a găsi pagina pe care o doriți, folosiți căutarea"
"Call to undefined method '%s'","A fost apelata metoda inexistentă %s"
"Instance of %s expected, %s given","Instanța %s așteptată, %s primită"
"Core","Nucleu"
"Design","Design"
"Mail","Mail"
"Admin Template","Design panou administrare"
"Administrator email","Email administrator"
"Autodetect new words","Autodetectează cuvintele noi"
"City","Oraș"
"Country","Țară"
"Customer relations email","Email relaţii cu clienţii"
"Default Description","Descriere implicită"
"Default Keywords","Cuvinte cheie implicite"
"Default Lifetime","Durată de funcţionare implicită"
"Default Robots","Motoare de căutare implicite"
"Default Title","Titlu implicit"
"Email","Email"
"Enable css merging on the frontend","Activează amestecarea css-ului în magazin"
"Enable css merging on the backend","Activează amestecarea css-ului în panoul de administrare"
"Enable javascript merging the frontend","Activează amestecarea javascript-ului în magazin"
"Enable javascript merging the backend","Activează amestecarea javascript-ului în panoul de administrare"
"Fax","Fax"
"Front Template","Design Magazin"
"Homepage description","Descriere pagină principală"
"Homepage keywords","Cuvinte chei pagină principală"
"Homepage title","Titlu pagină principală"
"Host","Host"
"Mail transport","Transport mail"
"Phone","Telefon"
"Port","Port"
"Route","Rută"
"Sales department email","Email departament vânzări"
"Secure","Securizează"
"Sender","Expeditor"
"Ssl Enabled","SSL activat"
"Store owner","Deținător magazin"
"Street","Stradă"
"Support email","Email departament suport"
"Title Divider","Title divider"
"Title Pattern","Title Pattern"
"Title Prefix","Prefix titlu"
"Title Suffix","Sufix titlu"
"Use Auth","Folosește autentificare"
"User","Utilizator"
"Website","Site"
"Zip code","Cod poștal"
"Zone","Județ"
"Approved","Aprobat"
"Pending","În așteptare"
"Disapproved","Respins"
"HTML Head","HTML Head"
"Main","Principal"
"Backend","Backend"
"Cache","Cache"
"Company","Companie"
"Frontend","Magazin"
"Minify","Minimizează"
"Store","Magazin"
"Translation","Traducere"
"Mailboxes","Căsuțe poștale"
"Smtp","Smtp"
"Can't write to file %s","Nu poate fi scris fișierul %s"
"Email address was not found in our records","Adresa email nu fost găsită în înregistrările noastre"
"Forgot Password","Parolă greșită"
"Enabled","Activat"
"Sort Order","Ordonează după"
"Type","Tip"
"General","General"
"Detect not translated words and write them to the file (Make sure that locale folder has writable permissions: >chmod -R 0777 [root_path]/app/locale)","Detect not translated words and write them to the file (Make sure that locale folder has writable permissions: >chmod -R 0777 [root_path]/app/locale)
"
"Admin url (example.com/<b>adminRoute</b>)","Adresă panou administrator (exemplu.com/<b>rutăadmin</b>)"
"Company country","Țară magazin"
"Company name","Nume companie"
"Company website","Site companie"
"Store Country","Țară magazin"
"Store zone(state,province)","Regiunea magazinului"
"Check values, which you want to see on page title","Verificați valorile, pe care vreți să le vedeți în titlul paginii"
"Mail Transport (smtp or sendmail)","Trimiterea mailului (smtp sau sendmail)"
"%d record(s) was saved successfully","%d înregistrări au fost salvate cu succes"
"Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section","Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section"
"Please enable JavaScript in your browser.","Vă rugăm sa activați JavaScript din browserul dumneavoastră"
"Column %s should be unique","Coloana %s trebuie să fie unică"
"Session","Sesiune"
"Remote Address (IP) Validation","Validare adresă la distanță (IP)"
"User Agent (Browser) Validation","Validare Browser"
"Please note that this message was sent to the following e-mail address: %s","Acest mesaj a fost trimis către adresa următoare de e-mail: %s"
"Required","Necesar"
"Optional","Opțional"
"Disabled","Dezactivat"
"An error has been occured during request processing. Try again","O eroare a apărut în timpul procesării cererii dumneavoastră. Vă rugăm încercați din nou"
