"Home","Anasayfa"
"'%localPart%' not matched against dot-atom format","'%localPart%' nokta-atom formatında eşleşmedi"
"'%localPart%' not matched against quoted-string format","'%localPart%' tırnaklı-dizge formatında eşleşmedi"
"'%localPart%' is not a valid local part for email address '%value%'","'%localPart%' yerel alan için '%value%' e-posta adresi geçerli değil"
"'%value%' exceeds the allowed length","'%value%' izin verilen uzunluğu aşıyor"
"Too much files, maximum '%max%' are allowed but '%count%' are given","Çok fazla dosya, maksimum '%max%' izin verilen fakat '%count%' gelen"
"Too less files, minimum '%min%' are expected but '%count%' are given","Dosya çok az, minimum '%min%' izin verilen fakat '%count%' gelen"
"The file '%value%' does not match the given crc32 hashes","Dosya '%value%' Verilen crc32 algoritması ile eşleşmiyor"
"There was no crc32 hash detected for the given file","Verilen dosya için tespit edilen hiçbir crc32 algoritması yok"
"The file '%value%' could not be found","Dosya '%value%' bulunamadı"
"The file '%value%' has a false extension","Dosya'%value%' yanlış bir uzantısına sahip"
"The file '%value%' was not found","Dosya '%value%' bulunamadı"
"The file '%value%' has a false mimetype of '%type%'","Dosya '%value%' mimetype '%type%' yanlış"
"The mimetype of file '%value%' could not been detected","Dosya  mimetype'%value%' bulunamadı"
"The file '%value%' can not be read","Dosya '%value%' okunamaz"
"The file '%value%' does not exist","Dosya '%value%' yok"
"All files in sum should have a maximum size of '%max%' but '%size%' were detected","Özetle tüm dosyaların maksimum boyutu olmalıdır '%max%' fakat '%size%' tespit edildi"
"All files in sum should have a minimum size of '%min%' but '%size%' were detected","Özetle tüm dosyaların minimum boyutu olmalıdır '%min%' but '%size%' tespit edildi"
"One or more files can not be read","Bir veya daha fazla dosya okunamıyor"
"The file '%value%' does not match the given hashes","'%value%' dosyası Verilen algoritma ile eşleşmiyor"
"There was no hash detected for the given file","Verilen dosya için bir algoritma tespit edilemedi"
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected","'%value%' için izin verilen maksimum resim genişliği %maxwidth%' olmalıdır, fakat '%width%' tespit edildi"
"Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected","'%value%' için minimum beklenen resim genişliği '%minwidth%' olmalıdır, fakat '%width%' tespit edildi"
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected","'%value%' için izin verilen maksimum resim yüksekliği '%maxheight%' olmalıdır,  fakat '%height%' tespit edildi"
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected","'%value%' için minimum beklenen resim yüksekliği '%minheight%' olmalıdır, fakat '%height%' tespit edildi"
"The size of image '%value%' could not be detected","'%value%' resim boyutu tespit edilemedi"
"The image '%value%' can not be read","Resim '%value%' okunamıyor"
"The file '%value%' is not compressed, '%type%' detected","'%value%' Dosya sıkıştırılmamış, '%type%' tespit edildi"
"The file '%value%' is no image, '%type%' detected","'%value%' Resim dosyası değil, '%type%' tespit edildi"
"The file '%value%' does not match the given md5 hashes","'%value%' dosya md5 algoritması ile eşleşmiyor"
"There was no md5 hash detected for the given file","Gelen dosya için tespit edilen herhangi bir md5 algoritması yok"
"The file '%value%' does exist","'%value%' dosya yok"
"The file '%value%' does not match the given sha1 hashes","'%value%' dosya sha1 algoritması ile eşleşmiyor"
"There was no sha1 hash detected for the given file","Gelen dosya için tespit edilen herhangi bir sha1 algoritması yok"
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected","'%value%' izin verilen maksimum dosya boyutu '%max%' dır, fakat '%size%' tespit edildi"
"Minimum expected size for file '%value%' is '%min%' but '%size%' detected","'%value%' için beklenen boyut minumum '%min%' dıt, fakat '%size%' tespit edildi"
"The file '%value%' exceeds the defined ini size","'%value%' Dosya tanımlı ini boyutu aşıyor"
"The file '%value%' exceeds the defined form size","'%value%' Dosya tanımlı form boyutu aşıyor"
"The file '%value%' was only partially uploaded","'%value%' Dosya sadece kısmen yüklendi"
"The file '%value%' was not uploaded","'%value%' Dosya yüklenemedi"
"No temporary directory was found for the file '%value%'","No temporary directory was found for the file '%value%'"
"The file '%value%' can't be written","The file '%value%' can't be written"
"The extension returned an error while uploading the file '%value%'","'%value%' yüklenirken dosya uzantısı hatası oluştu"
"The file '%value%' was illegal uploaded, possible attack","'%value%' Dosyası saldırı olasılığı olan illegal yükleme"
"Unknown error while uploading the file '%value%'","'%value%' Dosya yükleme sırasında bilinmeyen bir hata oluştu"
"Too much words, maximum '%max%' are allowed but '%count%' were counted","Kelime sayısı fazla, izin verilen maksimum '%max%' kelime, ama '%count%' kelime sayıldı"
"Too less words, minimum '%min%' are expected but '%count%' were counted","Kalima sayısı az, beklenen minimum '%min%' kelime, ama '%count%' kelime sayıldı"
"'%value%' does not appear to be a float","'%value%' bir kayan sayı olarak görünmüyor"
"'%value%' is not greater than '%min%'","'%value%' '%min%' olmalı, daha fazla değil"
"'%value%' has not only hexadecimal digit characters","'%value%' sadece sayısal karakter olmaz"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' Bir IP adresi gibi görünür, ancak bu IP adreslerine izin verilmiyor"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' DNS hostname adı olarak gibi görünüyor, ancak bilinen TLD listeleri ile eşleşmiyor"
"'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position","'%value%' DNS hostname adı olarak gibi görünüyor, ancak geçersiz bir konumda (-) bir çizgi içeriyor"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' DNS hostname adı olarak gibi görünüyor, ancak '%tld%' TLD şemaları ile eşleşmiyor"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' DNS ana bilgisayar adı olarak gibi görünüyor, ancak TLD parçası açılamadı"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' DNS hostname için beklenen yapı ile eşleşmiyor"
"'%value%' does not appear to be a valid local network name","'%value%' geçerli bir yerel ağ adı gibi görünmüyor"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' yerel bir ağ adı gibi görünüyor, ama yerel ağ adlarına izin verilmez"
"'%value%' does not have IBAN","'%value%' IBAN yok"
"'%value%' has a false format","'%value%' geçersiz format"
"'%value%' has failed the IBAN check","'%value%' IBAN denetimi başarısız oldu"
"The token '%token%' does not match the given token '%value%'","'%token%' belirtec '%value%' verilen belirtec ile eşleşmiyor"
"No token was provided to match against","Belirteç siz eşleşme sağlandı"
"'%value%' was not found in the haystack","'%value%' yığın içinde bulunmadı"
"'%value%' does not appear to be an integer","'%value%' geçerli bir tam sayı olarak görünmüyor"
"'%value%' does not appear to be a valid IP address","'%value%' geçerli bir IP adresi olarak görünmüyor"
"'%value%' is not less than '%max%'","'%value%' is not less than '%max%'"
"Value is required and can't be empty","Değer gereklidir ve boş olamaz"
"'%value%' does not match against pattern '%pattern%'","'%value%' does not match against pattern '%pattern%'"
"'%value%' is less than %min% characters long","'%value%' is less than %min% characters long"
"'%value%' is greater than %max% characters long","'%value%' is greater than %max% characters long"
"Root category wasn't changed. Some categories already linked with the site %s. Unlink them from the site first","Kök kategori değişmedi. Bazı kategorilerin zaten site ile bağlantılı %s."
"Record %s already exist","%s kayıtlı"
"Record %s doesn't found","%s bulunamadı"
"Incorrect password","Yanlış şifre"
"Password confirmation does not match","Şifre doğrulama eşleşmiyor"
"Page not found","Sayfa bulunamadı"
"Sorry, the page you requested not found.","Üzgünüm, sayfa cevap vermiyor."
"There might be a typing error in the address.","Adresinde bir yazım hatası olabilir."
"If you clicked on a link, it may be out of date.","Bu link tıklandığında, güncelliğini yitirmiş olabilir."
"Please try following:","Lütfen aşağıdakileri deneyin:"
"Retype the address.","Adresi yeniden yazın."
"Go to our <a href='%s'>home page</a>.","<a href='%s'>ana sayfa</a> ya git."
"The server encountered an internal error or misconfiguration and was unable to complete your request.","Sunucu, dahili bir hata ya da yanlış ile karşılaştı ve isteğinizi tamamlayamadı."
"More information about this error may be available in the server error log.","Bu hata hakkında daha fazla bilgiyi, sunucu hata günlüğünde bulabilirsiniz."
"Try to find page you want, using our search.","istediğiniz sayfayı bulmak için, arama özelliğini kullanın."
"Call to undefined method '%s'","'%s' tanımsız yöntem"
"Instance of %s expected, %s given","%s bekleniyordu, %s verildi"
"Core","Çekirdek"
"Design","Tasarım"
"Mail","Posta"
"Admin Template","Admin Şablonu"
"Administrator email","Admin email"
"Autodetect new words","Otomatik yeni kelimeleri tespit"
"City","Şehir"
"Country","Ülke"
"Customer relations email","Müşteri ilişkileri e-posta"
"Default Description","Varsayılan açıklama"
"Default Keywords","Varsayılan anahtar kelime"
"Default Lifetime","Varsayılan süre"
"Default Robots","Varsayılan Robot"
"Default Title","Varsayılan Başlık"
"Email","Email"
"Enable css merging on the frontend","Önyüz css birleştirme etkinleştir"
"Enable css merging on the backend","Kontrol panel css birleştirme etkinleştir"
"Enable javascript merging the frontend","Önyüz javascript birleştirme etkinleştir"
"Enable javascript merging the backend","Kontrol panel javascript birleştirme etkinleştir"
"Fax","Fax"
"Front Template","Önyüz şablonu"
"Homepage description","Anasayfa açıklama"
"Homepage keywords","Anasayfa anahtar kelimeler"
"Homepage title","Anasayfa başlık"
"Host","Host"
"Mail transport","Mail taşıma"
"Phone","Telefon"
"Port","Port"
"Route","Rota"
"Sales department email","Satış departmanı emaili"
"Secure","Gizli"
"Sender","Gönder"
"Ssl Enabled","Ssl Etkin"
"Store owner","Mağaza sahibi"
"Street","Cadde"
"Support email","Destek emaili"
"Title Divider","Başlık Divider"
"Title Pattern","Başlık Pattern"
"Title Prefix","Başlık önek"
"Title Suffix","Başlık sonek"
"Use Auth","Yazar"
"User","Kullanıcı"
"Website","Website"
"Zip code","Posta kodu"
"Zone","Bölge"
"Approved","Onaylandi"
"Pending","Beklemede"
"Disapproved","Rededildi"
"HTML Head","HTML Başlık"
"Main","Main"
"Backend","Kontrol Paneli"
"Cache","Bellek"
"Company","Şirket"
"Frontend","Önyüz"
"Minify","Minify"
"Store","Mağaza"
"Translation","Çeviri"
"Mailboxes","Posta kutusu"
"Smtp","Smtp"
"Can't write to file %s","%s dosyaya yazılamıyor"
"Email address was not found in our records","E-posta adresi kayıtlarda bulunamadı"
"Forgot Password","Şifremi unuttum"
"Enabled","Etkin"
"Sort Order","Sipariş sıralama"
"Type","Tipi"
"General","Genel"
"Detect not translated words and write them to the file (Make sure that locale folder has writable permissions: >chmod -R 0777 [root_path]/app/locale)","Çeviriyi bu dosyaya yazmak için (klasör izininin yazılabilir olduğundan emin olun: >chmod -R 0777 [root_path]/app/locale)"
"Admin url (example.com/<b>adminRoute</b>)","Admin url (example.com/<b>adminRota</b>)"
"Company country","Şirketin bulunduğu ülke"
"Company name","Şirket adı"
"Company website","Şirket websitesi"
"Store Country","Mağaza bulunduğu ülke"
"Store zone(state,province)","Mağaza bölgesi ( bölge, il )"
"Check values, which you want to see on page title","kontrol edilen değerleri, sayfa başlığında göreyim"
"Mail Transport (smtp or sendmail)","Mail Taşıma (smtp yada sendmail)"
"%d record(s) was saved successfully","%d kayıt(s) kaydedildi"
"Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section","Şablon %s 'core_template' tablosunda bulunamadı. 'design/main' config bölümünde şablon değerlerini kontrol edin"
"Please enable JavaScript in your browser.","Lütfen tarayıcınızda JavaScript'i etkinleştirin."
"Column %s should be unique","Sütun %s benzersiz olmalıdır"
"Session","Oturum"
"Remote Address (IP) Validation","Uzak Adres (IP) Doğrulama"
"User Agent (Browser) Validation","Kullanıcı (Browser) doğrulama"
"Please note that this message was sent to the following e-mail address: %s","Bu mesajı  şu e-posta adresine gönderilmiş olduğu dikkat ediniz: %s"
"Required","Gerekli"
"Optional","isteğe bağlı"
"Disabled","Devre dışı"
"An error has been occured during request processing. Try again","Isteği işleme sırasında bir hata oluştu. Tekrar deneyin"
