"Home","Головна"
"This email is sent in accordance with the US CAN-SPAM Law in effect 01/01/2004.","Цей лист відповідає US CAN-SPAM Law від 01/01/2004."
"This link is valid for only 24 hours.","Цей лінк валідний протягом 24 годин"
"This is reply on your letter to us","Це відповідь на Ваш лист нам"
"To log in when visiting our site just click","Просто перейдіть по посиланню"
"Total","Всього"
"Trace","Порядок виконання"
"Uninstall file not found","Файл видалення не знайдено"
"Until","До тих пір, поки"
"Use the following values when prompted to log in","Під час входу в систему, використойте ці значення"
"View last orders","Переглянути остані замовлення"
"Welcome to","Ласкаво просимо"
"When you log in to your account, you will be able to do the following","Коли ви увійдете до свого аккаунта, ви зможете робити наступне"
"You can check the status of your order by <a %s>logging into your account</a>","Ви можете перевірити статус замовлення <a %s>увійшовши до акаунту</a>"
"You can check the status of your order by %s","Ви можете перевірити статус замовлення увійшовши до акаунту"
"Your last order","Ваше останнє замовлення"
"Your order custom info","Інформація про замовлення"
"Your order (#%s) status has been changed to <strong>%s</strong>","Статус вашого замовлення (#%s) був змінений на <strong>%s</strong>"
"Your order (#%s) status has been changed to %s","Статус вашого замовлення (#%s) був змінений на %s"
"customer","користувач"
"Name","Ім'я"
" %s is not writable"," %s немає прав для запису"
"Mail was sended successfully","Лист успішно надіслано"
"Mail sending was failed.","Неможливо надіслати пошту."
"Please repeat the same password","Повторіть пароль, будь-ласка"
"'%value%' has not only alphabetic and digit characters","'%value%' містить не тільки літери та цифри"
"'%value%' is an empty string","'%value%' є пустою стрічкою"
"'%value%' has not only alphabetic characters","'%value%' містить не тільки літери"
"'%value%' is an empty string","'%value%' є пустою стрічкою"
"'%value%' is an invalid EAN-13 barcode","'%value%' є некоректним EAN-13 кодом"
"'%value%' should be 13 characters","'%value%' повинно мати 13 знаків"
"'%value%' should contain only numeric characters","'%value%' повинно містити тільки цифри"
"'%value%' is an invalid UPC-A barcode","'%value%' є некоректним UPC-A кодом"
"'%value%' should be 12 characters","'%value%' повинно мати 12 знаків"
"'%value%' is not between '%min%' and '%max%', inclusively","'%value%' не знаходиться між '%min%' та '%max%', включно"
"'%value%' is not strictly between '%min%' and '%max%'","'%value%' не знаходиться між '%min%' and '%max%', виключно"
"'%value%' must contain between 13 and 19 digits","'%value%' повинно містити від 13 до 19 символів"
"Luhn algorithm (mod-10 checksum) failed on '%value%'","'%value%' не пройшло перевірку по алгоритму Луна (контрольна сума mod-10)"
"'%value%' does not fit given date format","'%value%' не підпадає під необхідний формат дати"
"'%value%' does not appear to be a valid date","'%value%' не є коректною датою"
"'%value%' is not of the format YYYY-MM-DD","'%value%' не відповідає формату YYYY-MM-DD"
"No record matching %value% was found","Немає записів, які відповідають %value%"
"A record matching %value% was found","Знайдено запис який відповідає %value%"
"'%value%' contains not only digit characters","'%value%' містить не тільки цифри"
"'%value%' is an empty string","'%value%' є пустою стрічкою"
"'%value%' is not a valid email address in the basic format local-part@hostname","'%value%' не є коректною електронною поштою: local-part@hostname"
"'%value%' is not a valid email address in the basic format local-part@hostname","'%value%' не є коректною електронною поштою: local-part@hostname"
"'%hostname%' is not a valid hostname for email address '%value%'","'%hostname%' не є коректним хостом для електронної пошти '%value%'"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'","'%hostname%' не має коректного запису MX для електронної пошти '%value%'"
"'%localPart%' not matched against dot-atom format","'%localPart%' не відповідає dot-atom формату"
"'%localPart%' not matched against quoted-string format","'%localPart%' не відповідає формату стрічки"
"'%localPart%' is not a valid local part for email address '%value%'","'%localPart%' є некоректною частиною для електронної пошти '%value%'"
"'%value%' exceeds the allowed length","'%value%' перевищує дозволену довжину"
"Too much files, maximum '%max%' are allowed but '%count%' are given","Занадто багато файлів, максимум - '%max%', передано - '%count%'"
"Too less files, minimum '%min%' are expected but '%count%' are given","Занадто мало файлів, мінімум - '%min%', передано - '%count%'"
"The file '%value%' does not match the given crc32 hashes","Файл '%value%' не відповідає переданому хешу crc32"
"There was no crc32 hash detected for the given file","Не знайдено хешу crc32 для переданого файла"
"The file '%value%' could not be found","Файл '%value%' не знайдено"
"The file '%value%' has a false extension","Файл '%value%' має невірне розширення"
"The file '%value%' was not found","Файл '%value%' не знайдено"
"The file '%value%' has a false mimetype of '%type%'","Файл '%value%' має невірний MIME-тип '%type%'"
"The mimetype of file '%value%' could not been detected","Неможливо визначити MIME-тип файлу '%value%'"
"The file '%value%' can not be read","Неможливо прочитати файл '%value%'"
"The file '%value%' does not exist","Файл '%value%' не існує"
"All files in sum should have a maximum size of '%max%' but '%size%' were detected","Максимально дозволений розмір файлів - '%max%', передано - '%size%'"
"All files in sum should have a minimum size of '%min%' but '%size%' were detected","Мінімальний розмір файлів - '%min%', передано - '%size%'"
"One or more files can not be read","Неможливо прочитати один або більше файлів"
"The file '%value%' does not match the given hashes","Файл '%value%' не відповідає переданим хешам"
"There was no hash detected for the given file","Не знайдено хеш для переданого файла"
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected","Максимальна дозволена ширина малюнка '%value%' - '%maxwidth%', насправді -'%width%'"
"Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected","Мінімальна дозволена ширина малюнка '%value%' - '%minwidth%', насправді - '%width%'"
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected","Максимальна дозволена висота малюнка '%value%' - '%maxheight%', насправді - '%height%'"
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected","Мінімальна дозволена висота малюнка '%value%' - '%minheight%', насправді - '%height%'"
"The size of image '%value%' could not be detected","Неможливо визначити розмір малюнка '%value%'"
"The image '%value%' can not be read","Неможливо прочитати малюнок '%value%'"
"The file '%value%' is not compressed, '%type%' detected","Файл '%value%' не стиснений, тип - '%type%'"
"The file '%value%' is no image, '%type%' detected","Файл '%value%' не є малюнком, тип - '%type%'"
"The file '%value%' does not match the given md5 hashes","Файл '%value%' не відповідає переданому хешу md5"
"There was no md5 hash detected for the given file","Не знайдено md5 хеша для переданого файла"
"The file '%value%' does exist","Файл '%value%' не існує"
"The file '%value%' does not match the given sha1 hashes","Файл '%value%' не відповідає переданому хешу sha1"
"There was no sha1 hash detected for the given file","Не знайдено sha1 хеша для переданого файла"
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected","Максимальний дозволений розмір файла '%value%' становить '%max%', передано - '%size%'"
"Minimum expected size for file '%value%' is '%min%' but '%size%' detected","Мінімальний розмір файла'%value%' - '%min%', передано - '%size%'"
"The file '%value%' exceeds the defined ini size","Розмір Файла '%value%' перевищує ліміт встановлений ini файлом"
"The file '%value%' exceeds the defined form size","Розмір файла '%value%' перевищує розмір визначений формою"
"The file '%value%' was only partially uploaded","Файл '%value%' був завантажений тільки частково"
"The file '%value%' was not uploaded","Файл '%value%' не був завантажений"
"No temporary directory was found for the file '%value%'","Не знайдено тимчасової директорії для файла '%value%'"
"The file '%value%' can't be written","Неможливо записати файл '%value%'"
"The extension returned an error while uploading the file '%value%'","Розширення повернуло помилку під час завантаження файла '%value%'"
"The file '%value%' was illegal uploaded, possible attack","Файл '%value%' було нелегально завантажено, можлива атака"
"Unknown error while uploading the file '%value%'","Невідома помилка під час завантаження файла '%value%'"
"Too much words, maximum '%max%' are allowed but '%count%' were counted","Забагато слів, максимально дозволено - '%max%', виявлено - '%count%'"
"Too less words, minimum '%min%' are expected but '%count%' were counted","Недостатня кількість слів, очікувалось мінімально - '%min%', виявлено - '%count%'"
"'%value%' does not appear to be a float","'%value%' не є дійсним числом"
"'%value%' is not greater than '%min%'","'%value%' не більше '%min%'"
"'%value%' has not only hexadecimal digit characters","'%value%' не є шістнадцятиричним числом"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' є IP адресою, але IP адреси не дозволені"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' є DNS ім'ям хосту але не відповідає списку TLD"
"'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position","'%value%' є DNS ім'ям, але містить тире (-) в недозволеному місці"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' є DNS ім'ям, але не відповідає хостам для TLD '%tld%'"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' є DNS ім'ям, але неможливо виявити частину TLD"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' не відповідає очікуваній структурі DNS хоста"
"'%value%' does not appear to be a valid local network name","'%value%' не є коректною назвою локальної мережі"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' є назвою локальної мережі, але імена локальних мереж є заборонені"
"'%value%' does not have IBAN","'%value%' не містить IBAN"
"'%value%' has a false format","'%value%' має невірний формат"
"'%value%' has failed the IBAN check","'%value%' не пройшло перевірку IBAN"
"The token '%token%' does not match the given token '%value%'","Знак '%token%' не відповідає переданому '%value%'"
"No token was provided to match against","Не було передано знак для порівняння"
"'%value%' was not found in the haystack","'%value%' не знайдено серед списку"
"'%value%' does not appear to be an integer","'%value%' не є цілим числом"
"'%value%' does not appear to be a valid IP address","'%value%' не є коректною IP адресою"
"'%value%' is not less than '%max%'","'%value%' не менше '%max%'"
"Value is required and can't be empty","Поле є обов'язковим для заповнення і не може бути пустим"
"'%value%' does not match against pattern '%pattern%'","'%value%' не відповідає зразку '%pattern%'"
"'%value%' is less than %min% characters long","'%value%' менше ніж %min% знаків"
"'%value%' is greater than %max% characters long","'%value%' більше %max% знаків"
"Root category wasn't changed. Some categories already linked with the site %s. Unlink them from the site first","Коренева категорія не була змінена. Деякі категорії вже прикріплені до сайту %s. Спочатку відкріпіть їх від сайту"
"Record %s already exist","Запис %s вже існує"
"Record %s doesn't found","Запису %s не знайдено"
"Incorrect password","Невірний пароль"
"Password confirmation does not match","Підтвердження пароля не співпадає"
"Page not found","Сторінкa не знайдена"
"Sorry, the page you requested not found.","Вибачте, сторінка, яку ви шукаєте, не знайдена."
"There might be a typing error in the address.","Перевірте, чи правильно набрана адреса сайту."
"If you clicked on a link, it may be out of date.","Якщо ви потрапили сюди через посилання, можливо воно устарівше."
"Please try following:","Спробуйте зробити наступне:"
"Retype the address.","Введіть адресу ще раз."
"Go to our <a href='%s'>home page</a>.","Ідіть на нашу <a href='%s'>домашню сторінку</a>."
"The server encountered an internal error or misconfiguration and was unable to complete your request.","На стороні сервера виникла внутрішня помилка і було неможливо виконати ваш запит."
"More information about this error may be available in the server error log.","Більше інформації про помилку занесено до логу помилок сервера."
"Try to find page you want, using our search.","Спробуйте знайти сторінку, використовуючи наш пошук."
"Call to undefined method '%s'","Методу '%' не існує"
"Instance of %s expected, %s given","Очікується екземпляр %s , %s отримано"
"Core","Core"
"Design","Дизайн"
"Mail","Пошта"
"Admin Template","Шаблон для адміна"
"Administrator email","Електронна пошта адміністратора"
"Autodetect new words","Автоматичне визначення нових слів"
"City","Місто"
"Country","Країна"
"Customer relations email","Адреса зворотнього зв'язку"
"Default Description","Опис по-замовчуванню"
"Default Keywords","Ключові слова по-замовчуванню"
"Default Lifetime","Час життя по-замовчуванню"
"Default Robots","Роботи по-замовчуванню"
"Default Title","Заголовок сторінки по-замовчуванню"
"Email","Електронна пошта"
"Enable css merging on the frontend","Увімкнути об'єднання css в магазині"
"Enable css merging on the backend","Увімкнути об'єднання css в адмінці"
"Enable javascript merging on the frontend","Увімкнути об'єднання javascript в магазині"
"Enable javascript merging the backend","Увімкнути об'єднання javascript в адмінці"
"Fax","Факс"
"Front Template","Шаблон магазину"
"Homepage description","Опис домашньої сторінки"
"Homepage keywords","Ключові слова домашньої сторінки"
"Homepage title","Заголовок домашньої сторінки"
"Host","Хост"
"Mail transport","Mail transport"
"Phone","Телефон"
"Port","Порт"
"Route","Маршрут"
"Sales department email","Елуктронна пошта відділу продаж"
"Secure","Безпека"
"Sender","Відправник"
"Ssl Enabled","Ssl Увімкнено"
"Store owner","Власник магазину"
"Street","Вулиця"
"Support email","Електронна пошта підтримки"
"Title Divider","Роздільник загаловка"
"Title Pattern","Шаблон заголовка"
"Title Prefix","Префікс заголовка"
"Title Suffix","Суфікс заголовка"
"Use Auth","Використовувати автентифікацію"
"User","Користувач"
"Website","Сайт"
"Zip code","Поштовий індекс"
"Zone","Зона"
"Approved","Затверджений"
"Pending","Очікує"
"Disapproved","Заборонений"
"HTML Head","HTML Head"
"Main","Головне"
"Backend","Бекенд"
"Cache","Кеш"
"Company","Компанія"
"Frontend","Фронтенд"
"Minify","Minify"
"Store","Магазин"
"Translation","Переклад"
"Mailboxes","Поштові скриньки"
"Smtp","Smtp"
"Can't write to file %s","Неможливо записати у файл %s"
"Email address was not found in our records","Електронну пошту не знайдено в наших записах"
"Forgot Password","Забув пароль"
"If you want to change your password, go to <a href="%s">Change password</a>","Якщо ви хочете змінити пароль, перейдіть по посиланню <a href="%s">Змінити пароль</a>"
"Enabled","Увімкнено"
"Sort Order","Порядок сортування"
"Type","Тип"
"General","Загальне"
"Detect not translated words and write them to the file (Make sure that locale folder has writable permissions: >chmod -R 0777 [root_path]/app/locale)","Знаходити не перекладені слова, та записувати їх до файлу (Впевніться, що на папку із перекладами стоїть дозвіл на запис: >chmod -R 0777 [root_path]/app/locale)"
"Admin url (example.com/<b>adminRoute</b>)","Шлях до адмін панелі (example.com/<b>adminRoute</b>)"
"",""
"Company country","Країна компанії"
"Company name","Назва компанії"
"Company website","Сайт"
"Store Country","Країна магазина"
"Store zone(state,province)","Зона магазина (штат, область)"
"Default description","Опис по-замовчуванню"
"Check values, which you want to see on page title","Відмітьте значення, які ви хочете бачити на заголовку сторінки"
"Mail Transport (smtp or sendmail)","Mail Transport (smtp or sendmail)"
"%d record(s) was saved successfully","%d запис(ів) було успішно збережено"
"Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section","Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section"
"Please enable JavaScript in your browser.","Активуйте JavaScript у вашому браузері."
"Column %s should be unique","Колонка %s повинна бути унікальною"
"Session","Сесія"
"Remote Address (IP) Validation","Перевіряти віддалену адресу користувача (ip)"
"User Agent (Browser) Validation","Перевіряти агент користувача (браузер)"
