"Home","Přehled"
"'%value%' is an empty string","'%value%' neobsahuje žádný údaj"
"'%value%' has not only alphabetic characters","'%value%' neobsahuje pouze abecední znaky"
"'%value%' is an invalid EAN-13 barcode","'%value%' je neplatný EAN-13 kód"
"'%value%' should be 13 characters","'%value%' musí obsahovat 13 znaků"
"'%value%' should contain only numeric characters","'%value%' smí obsahovat pouze číslice"
"'%value%' is an invalid UPC-A barcode","'%value%' je neplatný UPC-A kód"
"'%value%' should be 12 characters","'%value%' musí obsahovat 12 znaků"
"'%value%' is not between '%min%' and '%max%', inclusively","'%value%' je mimo povolený rozsah od '%min%' do '%max%'"
"'%value%' is not strictly between '%min%' and '%max%'","'%value%' je mimo sktriktní rozsah od '%min%' do '%max%'"
"'%value%' must contain between 13 and 19 digits","'%value%' musí obsahovat od 13 do 19 znaků"
"Luhn algorithm (mod-10 checksum) failed on '%value%'","Ověření platnosti kontrolním součtem (Luhnův algoritmus) selhalo na '%value%'"
"'%value%' does not fit given date format","'%value%' není platný formát datumu"
"'%value%' does not appear to be a valid date","'%value%' je neplatné datum"
"'%value%' is not of the format YYYY-MM-DD","'%value%' není ve formátu YYYY-MM-DD"
"No record matching %value% was found","Nebyly nalezeny žádné záznamy odpovídající hodnotě %value%"
"A record matching %value% was found","Záznamy odpovídající hodnotě %value% byly nalezeny"
"'%value%' contains not only digit characters","'%value%' neobsahuje pouze číslice"
"'%value%' is not a valid email address in the basic format local-part@hostname","'%value%' není platný email základního formátu schránka@hostitel"
"'%hostname%' is not a valid hostname for email address '%value%'","'%hostname%' je neplatný název hostitele emailu '%value%'"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'","'%hostname%' nemá platný MX záznam pro email '%value%'"
"'%localPart%' not matched against dot-atom format","'%localPart%' je neplatný dot-atom formát"
"'%localPart%' not matched against quoted-string format","'%localPart%' je neplatný quoted-string formát"
"'%localPart%' is not a valid local part for email address '%value%'","'%localPart%' není platná schránka emailu '%value%'"
"'%value%' exceeds the allowed length","'%value%' přesahuje povolenou délku"
"Too much files, maximum '%max%' are allowed but '%count%' are given","Příliš mnoho souborů, místo zjištěných '%count%' jich je povoleno maximálně '%max%'"
"Too less files, minimum '%min%' are expected but '%count%' are given","Příliš málo souborů, místo zjištěných '%count%' jich je povoleno minimálně '%min%'"
"The file '%value%' does not match the given crc32 hashes","Soubor '%value%' není platným šifrovacím CRC32 klíčem"
"There was no crc32 hash detected for the given file","V souboru nebyl šifrovací CRC32 klíč nalezen"
"The file '%value%' could not be found","Soubor '%value%' neobsahuje žádná data"
"The file '%value%' has a false extension","Formát souboru '%value%' není podporován"
"The file '%value%' was not found","Soubor '%value%' nebyl nalezen"
"The file '%value%' has a false mimetype of '%type%'","'%value%' je neplatným souborem formátu '%type%'"
"The mimetype of file '%value%' could not been detected","Formát souboru '%value%' nelze určit"
"The file '%value%' can not be read","Soubor '%value%' nelze číst"
"The file '%value%' does not exist","Soubor '%value%' nebyl nalezen"
"All files in sum should have a maximum size of '%max%' but '%size%' were detected","Maximem součtu velikostí souborů je '%max%' místo zjištěných '%size%'"
"All files in sum should have a minimum size of '%min%' but '%size%' were detected","Minimem součtu velikostí souborů je '%min%' místo zjištěných '%size%'"
"One or more files can not be read","Jeden nebo vice souborů nelze přečíst"
"The file '%value%' does not match the given hashes","Soubor '%value%' neodpovídá určenému šifrovacímu klíči"
"There was no hash detected for the given file","Nebyl zjištěn šifrovací klíč daného souboru"
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected","Maximální povolená šířka obrázku '%value%' je '%maxwidth%' místo zjištěné '%width%'"
"Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected","Minimální povolená šířka obrázku '%value%' je '%minwidth%' místo zjištěné '%width%'"
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected","Maximální povolená výška obrázku '%value%' je '%maxheight%' místo zjištěné '%height%'"
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected","Minimální povolená výška obrázku '%value%' je '%minheight%' místo zjištěné '%height%'"
"The size of image '%value%' could not be detected","Velikost obrázku '%value%' nelze určit"
"The image '%value%' can not be read","Obrázek '%value%' nelze přečíst"
"The file '%value%' is not compressed, '%type%' detected","Soubor '%value%' není archiv, zjištěný typ '%type%'"
"The file '%value%' is no image, '%type%' detected","Soubor '%value%' není obrázek, zjištěný typ '%type%'"
"The file '%value%' does not match the given md5 hashes","Soubor '%value%' není platným šifrovacím MD5 klíčem"
"There was no md5 hash detected for the given file","V souboru nebyl šifrovací MD5 klíč nalezen"
"The file '%value%' does exist","Soubor '%value%' nebyl nalezen"
"The file '%value%' does not match the given sha1 hashes","Soubor '%value%' není platným šifrovacím SHA1 klíčem"
"There was no sha1 hash detected for the given file","V souboru nebyl šifrovací SHA1 klíč nalezen"
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected","Maximální povolená velikost souboru je '%max%' místo zjištěné '%size%' u souboru '%value%'"
"Minimum expected size for file '%value%' is '%min%' but '%size%' detected","Minimální povolená velikost souboru je '%min%' místo zjištěné '%size%' u souboru '%value%'"
"The file '%value%' exceeds the defined ini size","Soubor '%value%' neodpovídá velikosti stanovené v ini souboru"
"The file '%value%' exceeds the defined form size","Soubor '%value%' neodpovídá velikosti stanovené formulářem"
"The file '%value%' was only partially uploaded","Soubor '%value%' byl nahrán pouze částečně"
"The file '%value%' was not uploaded","Soubor '%value%' nebyl nahrán"
"No temporary directory was found for the file '%value%'","Pro soubor '%value%' nebyl nalezen žádný dočasný adresář"
"The file '%value%' can't be written","Soubor '%value%' nelze uložit"
"The extension returned an error while uploading the file '%value%'","Při nahrávání souboru '%value%' nastala chyba"
"The file '%value%' was illegal uploaded, possible attack","Podezření na útok, soubor '%value%' byl nahrán ilegálně"
"Unknown error while uploading the file '%value%'","při nahrávání souboru '%value%' nastala neznámá chyba"
"Too much words, maximum '%max%' are allowed but '%count%' were counted","Příliš mnoho slov, místo zjištěných '%count%' jich je povoleno maximálně '%max%'"
"Too less words, minimum '%min%' are expected but '%count%' were counted","Příliš málo slov, místo zjištěných '%count%' jich je povoleno minimálně '%min%'"
"'%value%' does not appear to be a float","'%value%' není desetinným číslem"
"'%value%' is not greater than '%min%'","'%value%' není větší než '%min%'"
"'%value%' has not only hexadecimal digit characters","'%value%' smí obsahovat pouze hexadecimální čísla"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' se zdá být IP adresou, ale ta není povolena"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' se zdá být názvem hostitele, v dostupných TLD jej ovšem nelze ověřit"
"'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position","'%value%' se zdá být názvem hostitele, ovšem obsahuje pomlčku na nepovoleném místě"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' se zdá být názvem hostitele, ale formátu hostitele u '%tld%' neodpovídá"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' se zdá být názvem hostitele, ale nelze určit TLD"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' neodpovídá předpokládané struktuře DNS hostitele"
"'%value%' does not appear to be a valid local network name","'%value%' je neplatným místním názvem sítě"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' je místní síťí, ty ovšem povoleny nejsou"
"'%value%' does not have IBAN","'%value%' nemá IBAN kód"
"'%value%' has a false format","'%value%' má neplatný formát"
"'%value%' has failed the IBAN check","'%value%' kontrolou IBAN kódu neprošlo"
"The token '%token%' does not match the given token '%value%'","Ověřovací kód '%token%' neodpovídá kontrolnímu kódu '%value%'"
"No token was provided to match against","Ke kontrole nebyl zadán ověřovací kód"
"'%value%' was not found in the haystack","Hodnota '%value%' nebyla nalezena"
"'%value%' does not appear to be an integer","'%value%' není celé číslo"
"'%value%' does not appear to be a valid IP address","'%value%' není platná IP adresa"
"'%value%' is not less than '%max%'","'%value%' není nižší než '%max%'"
"Value is required and can't be empty","Povinné údaje je nutno vyplnit"
"'%value%' does not match against pattern '%pattern%'","'%value%' neodpovídá definovanému vzoru '%pattern%'"
"'%value%' is less than %min% characters long","'%value%' je kratší než %min% znaků"
"'%value%' is greater than %max% characters long","'%value%' je delší než %max% znaků"
"Root category wasn't changed. Some categories already linked with the site %s. Unlink them from the site first","Základní kategorii nelze měnit. Některé kategorie jsou přiřazeny k obchodu %s. Je třeba je nejdříve odpojit"
"Record %s already exist","Údaj %s již existuje"
"Record %s doesn't found","Údaj %s nenalezen"
"Incorrect password","Neplatné heslo"
"Password confirmation does not match","Zadaná hesla se neshodují"
"Page not found","Stránka nenalezena"
"Sorry, the page you requested not found.","Požadovaná stránka na na našem webu nenachází, nejčastějšími příčinami jsou:"
"There might be a typing error in the address.","překlepy v adresním řádku při ručním zadávání URL,"
"If you clicked on a link, it may be out of date.","kliknutí na již zastaralé odkazy na internetu."
"Please try following:","Možnosti jsou následující:"
"Retype the address.","zadat URL adresu stránky znovu,"
"Go to our <a href='%s'>home page</a>.""přejít na <a href='%s'>úvodní stránku</a>,"
"The server encountered an internal error or misconfiguration and was unable to complete your request.","Požadavek nelze dokončit kvůli nesprávné konfiguraci nebo vnitřní chybě serveru."
"More information about this error may be available in the server error log.","Více informací o této chybě je možno získat v protokolu chyb."
"Try to find page you want, using our search.","stránku nalézt pomocí vyhledánání"
"Call to undefined method '%s'","Požadování nedefinované metody '%s'"
"Instance of %s expected, %s given","Očekávaný objekt třídy %s, uvedený v %s"
"Core","Systém"
"Design","Vzhled"
"Mail","Email"
"Admin Template","Šablona správy"
"Administrator email","Emailová adresa správce"
"Autodetect new words","Autodetekce nových řetězců"
"City","Město"
"Country","Stát"
"Customer relations email","Email oddělení vztahů se zákazníky"
"Default Description","META popis"
"Default Keywords","META klíčová slova"
"Default Lifetime","Výchozí životnost mezipaměti"
"Default Robots","Výchozí příkazy robotům"
"Default Title","Výchozí název okna"
"Email","Email"
"Enable css merging on the frontend","Zapnout slučování CSS souborů v obchodě"
"Enable css merging on the backend","Zapnout slučování CSS souborů ve správě"
"Enable javascript merging the frontend","Zapnout slučování JS souborů v obchodě"
"Enable javascript merging the backend","Zapnout slučování JS souborů ve správě"
"Fax","Fax"
"Front Template","Šablona obchodu"
"Homepage description","META popis úvodní stránky"
"Homepage keywords","META klíčová slova úvodní stránky"
"Homepage title","Název okna úvodní stránky"
"Host","SMTP server"
"Mail transport","Způsob přenosu"
"Phone","Telefon společnosti"
"Port","Port"
"Route","Cesta ke správě obchodu"
"Sales department email","Email obchodního oddělení"
"Secure","Zabezpečení"
"Sender","Odesílatel"
"Ssl Enabled"," SSL Zapnuto"
"Store owner","Provozovatel obchodu"
"Street","Ulice"
"Support email","Zpráva z oddělení podpory"
"Title Divider","Oddělovač názvu stránky"
"Title Pattern","Předloha názvu stránky"
"Title Prefix","Předpona názvu stránky"
"Title Suffix","Přípona názvu stránky"
"Use Auth","Ověření odesílatele"
"User","Uživatel"
"Website","Webové stránky"
"Zip code","PSČ"
"Zone","Pásmo"
"Approved","Schváleno"
"Pending","Zpracovat"
"Disapproved","Zamítnuto"
"HTML Head","Hlavička HTML"
"Main","Hlavní"
"Backend","Správa obchodu"
"Cache","Mezipaměť"
"Company","Provozovatel obchodu"
"Frontend","Stránky obchodu"
"Minify","Komprimace"
"Store","Obchod"
"Translation","Překlad"
"Mailboxes","Schránky emailu"
"Smtp","SMTP"
"Can't write to file %s","Do souboru %s nelze zapisovat"
"Email address was not found in our records","Emailová adresa nenalezena"
"Forgot Password","Ztracené heslo"
"Enabled","Zapnuto"
"Sort Order","Pořadí"
"Type","Typ"
"Základní","Obecné"
"Detect not translated words and write them to the file (Make sure that locale folder has writable permissions: >chmod -R 0777 [root_path]/app/locale)","Funkce rozpozná nové nepřeložené řetězce a zapíše je do souboru (prověřte práva k zápisu (CHMOD-R 0777) adresáře /app/locale"
"Admin url (example.com/<b>adminRoute</b>)","URL adresa správce (obchod.cz/<b>spravce</b>)"
"Company country","Stát provozovatele"
"Company name","Název provozovatele"
"Company website","Webové stránky provozovatele"
"Store Country","Stát obchodu"
"Store zone(state,province)","Kraj/region obchodu"
"Check values, which you want to see on page title","Prověřte, zda jsou požadované hodnoty v názvu stránky obsaženy"
"Mail Transport (smtp or sendmail)","Přenos pošty (SMTP nebo sendmail)"
"%d record(s) was saved successfully","Bylo uloženo %d záznam(ů)"
"Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section","Šablona %s v tabulce 'core_template' nenalezena. Prověřte údaje zadané v nastavení obchodu, v sekci'design/main'"
"Please enable JavaScript in your browser.","Zapněte ve vašem prohlížeči JavaScript"
"Column %s should be unique","Sloupec %s musí být jedinečný"
"Session","Relace"
"Remote Address (IP) Validation","Ověření vzdálené IP adresy"
"User Agent (Browser) Validation","Ověření User Agenta prohlížeče"
"Please note that this message was sent to the following e-mail address: %s","Upozornění o odeslání zprávy na email: %s"
"Required","Povinný údaj"
"Optional","Volitelné"
"Disabled","Vypnuto"
"An error has been occured during request processing. Try again","Při zpracování požadavků došlo k chybě, opakujte zadání"
"Empty captcha value","Prázdná CAPTCHA hodnota"
"Captcha ID field is missing","Chybějící ID prvku CAPTCHA"
"Captcha value is wrong","Chybný CAPTCHA údaj"
"Missing captcha fields","Chybějící CAPTCHA prvky"
"Failed to validate captcha","Chyba při ověření CAPTCHA údaje"
"Captcha value is wrong: %value%","Chybný CAPTCHA údaj: %value%"
"Header","Záhlaví"
"Logo Image Src","Odkaz loga"
"Logo Image Alt","Alternativní text loga"

"",""
"Enable javascript merging on the backend","Zapnout slučování JS souborů v obchodě"
"Themes","Šablony a uspořádání"
"Go to our <a href='%s'>home page</a>.","Přejít na <a href='%s'>úvodní stránku</a>."
"Payment Method","Způsob platby"
"General","Základní"
